City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
korsakov,0,RU,1551895200,84,46.63,142.78,5.0,4.47
arroyo,90,US,1551897153,61,41.39,-78.88,19.0,10.29
norman wells,20,CA,1551895200,76,65.28,-126.83,-5.81,3.36
saint anthony,90,US,1551897125,80,43.97,-111.68,39.99,4.7
feijo,75,EC,1551895200,66,-3.63,-79.92,89.6,9.17
ushuaia,75,AR,1551895200,65,-54.81,-68.31,46.4,17.22
kavieng,36,PG,1551897187,100,-2.57,150.8,82.43,5.1
zyryanka,64,RU,1551897187,67,65.73,150.89,-9.6,2.75
montlucon,36,FR,1551896198,66,46.33,2.6,57.99,1.01
vaini,0,IN,1551897188,84,15.34,74.49,60.29,2.42
bandhi,0,PK,1551895200,56,26.59,68.3,69.8,11.41
san antonio,0,CL,1551895200,56,-33.58,-71.61,87.8,14.99
hilo,1,US,1551897142,82,19.71,-155.08,68.0,3.36
ballina,75,IE,1551897184,75,54.11,-9.15,46.0,17.22
bukama,36,CD,1551897192,83,-9.2,25.85,75.64,2.64
qaanaaq,64,GL,1551897192,77,77.48,-69.36,-1.36,4.99
yulara,8,AU,1551895200,31,-25.24,130.99,77.0,10.29
phonhong,0,LA,1551897193,83,18.5,102.42,74.29,1.74
muisne,75,EC,1551895200,88,0.61,-80.02,82.4,9.17
rikitea,64,PF,1551897194,95,-23.12,-134.97,81.53,19.3
atuona,44,PF,1551897195,100,-9.8,-139.03,82.21,17.52
new norfolk,20,AU,1551897135,66,-42.78,147.06,48.2,13.87
yellowknife,5,CA,1551897174,84,62.45,-114.38,6.8,11.41
dakar,0,SN,1551895200,69,14.69,-17.45,78.8,11.41
teguldet,32,RU,1551897196,75,57.31,88.17,11.6,3.65
annau,75,TM,1551895200,53,37.89,58.52,51.8,9.17
labuhan,88,ID,1551897197,94,-2.54,115.51,72.31,1.74
cherskiy,64,RU,1551897197,70,68.75,161.3,-5.64,2.19
tuktoyaktuk,75,CA,1551895200,77,69.44,-133.03,5.0,8.05
iqaluit,20,CA,1551897171,69,63.75,-68.52,-13.01,19.46
calzada larga,75,MX,1551894060,47,16.35,-93.31,80.6,14.99
busselton,100,AU,1551897126,55,-33.64,115.35,69.01,9.46
avarua,80,CK,1551895200,74,-21.21,-159.78,78.8,12.75
puerto ayora,20,EC,1551895200,70,-0.74,-90.35,84.2,11.41
mataura,0,NZ,1551897007,53,-46.19,168.86,66.99,13.0
mount gambier,0,AU,1551891600,87,-37.83,140.78,42.8,3.36
penzance,75,GB,1551897050,81,50.12,-5.53,50.0,21.92
wellsford,32,NZ,1551897183,92,-36.3,174.52,60.01,4.09
natchez,1,US,1551897007,34,31.56,-91.4,53.01,8.05
castro,75,CL,1551895200,72,-42.48,-73.76,68.0,14.99
butaritari,80,KI,1551897201,100,3.07,172.79,79.69,6.78
suzhou,24,CN,1551896932,62,31.3,120.58,48.99,17.85
kati,0,ML,1551895200,7,12.75,-8.07,98.6,6.93
kiunga,44,PG,1551897202,94,-6.12,141.3,71.99,2.08
fort nelson,5,CA,1551895200,84,58.81,-122.69,-0.41,2.24
dikson,48,RU,1551897203,91,73.51,80.55,5.26,18.97
east london,20,ZA,1551895200,65,-33.02,27.91,82.4,11.41
klaksvik,24,FO,1551896400,64,62.23,-6.59,35.6,4.7
hirado,64,JP,1551897195,79,33.32,129.49,51.01,5.01
fortuna,0,ES,1551897025,30,38.18,-1.13,72.0,11.41
saint-leu,36,RE,1551897035,83,-21.15,55.28,77.0,4.7
cape town,75,ZA,1551897064,77,-33.93,18.42,68.0,3.36
hualmay,8,PE,1551897113,60,-11.1,-77.61,80.72,6.11
trofors,40,NO,1551896400,79,65.54,13.39,28.4,8.05
carnarvon,88,ZA,1551897206,13,-30.97,22.13,86.66,10.02
segou,48,SN,1551895200,13,12.41,-12.29,100.4,4.7
nampa,75,US,1551897088,100,43.57,-116.56,48.0,12.75
lorengau,36,PG,1551897207,100,-2.02,147.27,80.86,2.08
mareeba,90,AU,1551897071,88,-16.99,145.42,75.2,6.93
ugoofaaru,0,MV,1551897208,99,5.67,73.0,83.15,8.9
port hardy,75,CA,1551895200,64,50.7,-127.42,33.8,3.36
voljevac,0,BA,1551895200,61,43.88,17.66,55.4,2.24
barrow,20,AR,1551897209,48,-38.31,-60.23,87.16,22.21
mar del plata,24,AR,1551896946,38,-46.43,-67.52,72.62,23.33
cidreira,92,BR,1551897210,76,-30.17,-50.22,83.47,10.13
flin flon,5,CA,1551895200,50,54.77,-101.88,8.6,10.29
ternate,20,PH,1551897184,69,14.29,120.72,80.6,6.93
listvyanskiy,36,RU,1551897210,89,54.44,83.49,16.73,8.34
lake havasu city,90,US,1551897151,33,34.47,-114.34,73.99,12.75
punta arenas,75,CL,1551897196,100,-53.16,-70.91,50.0,9.17
yerbogachen,8,RU,1551897215,74,61.28,108.01,16.42,5.66
geraldton,90,CA,1551895200,50,49.72,-86.95,8.6,10.29
latung,92,ID,1551897216,98,-8.45,120.42,71.63,4.65
bethel,90,US,1551896820,92,60.79,-161.76,30.2,12.75
santa cruz,90,US,1551896966,87,36.97,-122.03,60.01,18.34
upernavik,12,GL,1551896960,100,72.79,-56.15,7.91,16.06
albany,75,US,1551896904,37,42.65,-73.75,24.01,17.22
malanje,24,AO,1551897221,99,-9.54,16.35,72.53,4.54
jamestown,0,AU,1551897221,87,-33.21,138.6,43.37,5.99
